symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,opportunity_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,fib_direction,fib_nearest_r,fib_nearest_e,fib_confluence,entry_price,stop_loss,take_profit,risk_amount,reward_amount,risk_reward_ratio,stop_loss_pct,take_profit_pct,support_level,resistance_level,market_regime,regime_confidence,regime_trend_strength,regime_volatility,regime_suggested_threshold,combined_score
KSM/USDT:USDT,16.053,0.021378125596487996,0.0936031064786429,54.365751973345006,0.031957874842651834,17734057.81304,0.7274025424555911,Weak Buy,83.5978937421326,Neutral,6.14,0.45,75.19,17.6,54.14,1h,2025-10-27 14:45:04.134823+00:00,0.7745603626857764,14.234317979785564,55.007704160246554,43.303626208987396,True,True,False,True,True,False,15.854500000000002,0.012520104702134991,15.854500000000002,15.835081632653061,bull,15.893024,18.880496,0,16.053,15.57141,16.40994597,0.48159,0.35694597,0.74,-3.0,2.22,14.54329199,16.49240801,bull,45.0,14.2,high,60,56.86728937421326
API3/USDT:USDT,0.9547,-0.03643520387565602,0.09836631385181782,43.8856683380287,-0.016399372483538524,11495859.194618002,0.6416287432438964,Weak Sell,21.180031375823074,MACD Bearish,3.07,0.354,57.52,3.32,79.57,1h,2025-10-27 14:44:43.212680+00:00,0.21992918715922924,25.861800733068247,20.8181449979749,13.194559793580694,False,False,False,False,False,True,1.3667938775510207,-0.3015040411868085,1.3667938775510207,0.8467428571428571,bull,0.882768,2.0592639999999998,0,0.9547,0.983341,0.91330199,0.028641,0.04139801,1.45,3.0,-4.34,0.9087582,1.1176518,bull,45.0,25.9,high,60,56.7810031375823
ENA/USDT:USDT,0.71,-0.08857509627727866,0.047970479704797064,49.804820891593856,-0.008007877963696144,14084730.2571725,0.6879101646241316,Sell,21.599606101815194,MACD Bearish,6.42,0.433,63.98,2.11,75.92,1h,2025-10-27 14:44:09.112151+00:00,0.4581802650584865,17.722917301285,29.879621668099745,28.283262370626442,True,True,False,False,True,True,0.3722918367346939,0.9071060118515755,0.3722918367346939,0.7378571428571428,bull,0.7171676,0.9841304,0,0.71,0.7313,0.65675,0.0213,0.05325,2.5,3.0,-7.5,0.61183354,0.82608646,bull,90.7,17.7,high,60,56.43146061018152
TIA/USDT:USDT,1.7867,0.014363574429431036,0.02589572806614604,53.61979874668462,0.00986193428678879,3894868.9399019997,1.7828015606770509,Weak Buy,87.8045351768435,Lagging,2.97,0.227,55.97,47.75,52.47,1h,2025-10-27 14:44:12.498643+00:00,0.7489538267416462,16.97238288418593,62.07414829659319,47.5367401469606,False,False,False,True,True,False,1.7806153061224488,0.0034171861022589357,1.7806153061224488,1.6172642857142858,bear,1.5018,1.7375322,20,1.7867,1.733099,1.87359766,0.053601,0.08689766,1.62,-3.0,4.86,1.49936728,1.88301272,bear,45.0,17.0,high,75,56.17045351768435
DASH/USDT:USDT,24.02,-0.02555780933062879,0.08344609833107786,51.52353081140118,-0.12958869927353822,14545810.74865,0.2877037562647716,Weak Sell,15.520565036323088,MACD Bearish,5.98,0.43,62.98,14.9,72.48,1h,2025-10-27 14:43:22.593224+00:00,0.49059717160296484,12.236380352344554,44.055944055943996,33.282963093688636,False,True,False,False,True,True,23.54795918367347,0.020045933180222693,23.54795918367347,23.619999999999997,bull,24.246480000000002,27.20304,0,24.02,24.7406,22.67188173,0.7206,1.34811827,1.87,3.0,-5.61,22.5590863,25.5369137,bull,100.0,12.2,high,60,55.77205650363231
FORM/USDT:USDT,1.0778,-0.04272137845279311,-0.5963144687066931,41.079823681426824,0.05663124319235957,541242.015271,0.9992996987745414,Neutral,27.831562159617977,Neutral,2.98,0.616,61.91,3.81,73.48,1h,2025-10-27 14:44:57.762270+00:00,0.4742929898451875,24.724896198399527,58.316137020222875,48.36749667537949,False,False,False,False,False,False,1.3812530612244898,-0.21969403706188104,1.3812530612244898,1.3916734693877553,bear,0.23,1.76946,0,1.0778,1.045466,1.110134,0.032334,0.032334,1.0,-3.0,3.0,0.7769736,1.4112364,bear,100.0,24.7,high,75,55.5721562159618
ETHFI/USDT:USDT,1.6026,0.22457400473752576,0.43229957994458834,68.68637332517272,0.0363810470540481,2863385.1908809994,1.3149687314385383,Buy,86.8190523527024,MACD Bullish,8.45,0.754,91.46,12.83,43.95,1h,2025-10-27 14:44:27.335799+00:00,0.951869407368128,30.67316613096934,87.64176117411608,80.49896946639706,True,True,False,True,True,True,1.2294612244897958,0.30349779893631873,1.2294612244897958,1.5693000000000001,bull,1.6767,1.8876088000000002,0,1.6026,1.554522,1.6299473,0.048078,0.0273473,0.57,-3.0,1.71,0.89977201,1.63813799,bull,100.0,30.7,high,60,55.44640523527025
AAVE/USDT:USDT,306.1,0.01955167704759675,0.060931651185359925,49.28144211478581,-1.0384271831770708,611737574.9956,0.8762085622793451,Neutral,75.0,Moderate Uptrend,1.95,0.4,54.38,1.73,67.95,1h,2025-10-27 14:43:46.529072+00:00,0.43312488927849446,8.534691529839147,39.03832420852187,24.717341438982487,False,True,False,False,False,True,322.2617346938776,-0.05015095791385195,322.2617346938776,290.72642857142864,bull,298.79526,424.22296,0,306.1,296.917,315.283,9.183,9.183,1.0,-3.0,3.0,290.99327654,325.87172346,ranging,58.3,8.5,high,80,55.3295
JTO/USDT:USDT,2.052,0.08399366085578452,0.21133412042502964,59.11931193726936,0.006720904179054006,629591.245445,3.7018619055485145,Buy,90.3360452089527,Consistent Uptrend,6.9,0.622,69.92,52.14,41.9,1h,2025-10-27 14:44:39.823890+00:00,1.0591293237817343,11.259997984311687,72.87234042553195,35.69762424830786,False,True,False,True,True,False,1.9416530612244898,0.05683143965272599,1.9416530612244898,1.9187244897959181,bull,2.023256,2.304688,0,2.052,1.99044,2.2059,0.06156,0.1539,2.5,-3.0,7.5,1.75128821,2.03521179,bull,82.9,11.3,high,60,55.28460452089527
ACE/USDT:USDT,0.6135,0.0480013665869492,0.13695329873980744,55.27348811339052,0.009060975206484106,2009756.7777445,0.8196501473064253,Weak Buy,85.45304876032421,Consistent Uptrend,8.16,0.505,61.63,3.3,61.66,1h,2025-10-27 14:43:48.550578+00:00,0.6941556774484189,39.45610222146197,27.499462481186853,26.073245896939728,False,True,False,True,True,False,0.6538571428571428,-0.06172165173694545,0.6538571428571428,0.6286367346938776,bull,0.5849742,1.0772616,0,0.6135,0.595095,0.6595125,0.018405,0.0460125,2.5,-3.0,7.5,0.41964978,0.69891022,bull,45.0,39.5,high,60,55.27780487603242
RESOLV/USDT:USDT,0.0587,-0.03294892915980219,-0.4544609665427509,32.22618876870291,0.002085775308665839,2152878.713631429,0.14686607571275595,Neutral,17.104288765433292,Neutral,5.0,0.403,58.41,3.32,76.5,1h,2025-10-27 14:44:14.170605+00:00,0.35218371197514337,52.60520551648457,27.155172413793107,35.322910578609,False,False,False,False,False,False,0.1484173469387755,-0.6044936713212191,0.1484173469387755,0.07531428571428572,bear,0.0193,0.07862460000000002,0,0.0587,0.056939,0.060461,0.001761,0.001761,1.0,-3.0,3.0,0.04059241,0.09200759,bear,100.0,52.6,high,75,55.06092887654333
MYX/USDT:USDT,2.79932,-0.007333333333333303,-0.805502152155108,38.0695719234336,0.1989570648509662,1764085.9890128032,0.29185296154153056,Neutral,34.614519909215005,Neutral,2.7,0.458,63.35,19.42,65.2,1h,2025-10-27 14:44:19.884925+00:00,0.3526845126969781,21.30320627807911,16.746445371753016,24.944254357684112,False,True,False,False,False,False,0.21951326530612242,11.752395606234574,0.21951326530612242,1.2712614285714285,bear,1.07064,1.070640000000001,0,2.79932,2.7153404,2.8832996,0.0839796,0.0839796,1.0,-3.0,3.0,1.77764675,4.67449425,bear,100.0,21.3,high,75,54.8119519909215
ENS/USDT:USDT,24.269,0.04033779149519878,-0.043397713835238605,51.670817797877234,0.22790167688450796,12226110.11802,3.049988716980531,Weak Buy,40.0,Neutral,2.18,0.457,65.47,52.23,53.18,1h,2025-10-27 14:44:15.250178+00:00,0.8232977000106891,14.801857586596697,70.26785714285707,52.45039682539675,False,True,False,True,False,True,27.885663265306125,-0.1296961535717097,27.885663265306125,22.61818367346939,bear,21.5,25.574794,20,24.269,23.54093,24.74287626,0.72807,0.47387626,0.65,-3.0,1.95,21.48178768,24.86721232,bull,45.0,14.8,high,60,54.791999999999994
OG/USDT:USDT,14.3541,-0.2000523857822757,-0.11215779902767298,37.59600241455811,-0.4368207631183172,839049.0651358026,0.763504288915793,Strong Sell,7.0,MACD Bearish,6.7,0.734,71.67,4.19,70.2,1h,2025-10-27 14:44:56.434178+00:00,-0.027708046477722462,21.25486499787056,19.751277739857176,12.768557627164057,False,False,False,False,False,False,16.25089081632653,-0.11671919021330888,16.25089081632653,14.41880918367347,bear,13.1316,13.1316,0,14.3541,14.784723,13.2775425,0.430623,1.0765575,2.5,3.0,-7.5,14.49241024,19.48410976,bear,91.1,21.3,high,75,54.346000000000004
SOL/USDT:USDT,244.843,0.09300519175568844,0.33862017309342995,68.738675441894,2.011673081144769,1756599060.56107,1.236383806341963,Buy,95.0,Consistent Uptrend,8.07,0.776,90.21,9.54,41.57,1h,2025-10-27 14:42:56.577764+00:00,0.9089761437431744,25.89975364844138,90.4008585567502,78.69261827708203,True,True,False,True,True,True,126.71197959183674,0.932279811180329,126.71197959183674,242.16238775510203,bull,249.673,275.214344,0,244.843,237.49771,249.53315778,7.34529,4.69015778,0.64,-3.0,1.92,185.48450675,250.78709325,bull,100.0,25.9,high,60,54.268499999999996
SUI/USD:SUI,2.6322,0.01766866421805524,-0.17356357927786492,43.68461046936601,0.0283896469531128,1244840.7913043955,0.009888661067756524,Neutral,23.41948234765564,Potential Reversal,3.44,0.352,61.09,3.61,71.94,1h,2025-10-27 14:43:27.952126+00:00,0.4591785374417867,30.55813454161805,51.16151202749145,43.574937389912996,False,False,False,False,False,False,3.7536795918367343,-0.29876806594671995,3.7536795918367343,2.5447020408163263,bull,2.635356,4.600476,20,2.6322,2.553234,2.711166,0.078966,0.078966,1.0,-3.0,3.0,2.08260031,3.27951969,bear,100.0,30.6,high,75,54.125948234765566
ME/USDT:USDT,0.69,0.0014513788098693414,-0.014285714285714346,49.25631428911236,0.003671260222772631,4664728.55329,1.223683832743513,Weak Buy,51.58932705841212,Lagging,2.39,0.099,44.52,11.25,71.39,1h,2025-10-27 14:43:45.469283+00:00,0.6392761937773953,17.418207599380022,51.21951219512188,40.65040650406504,False,False,False,True,False,False,0.9389387755102041,-0.2651278038601983,0.9389387755102041,0.7194285714285715,bear,0.643,0.643,0,0.69,0.6693,0.71128957,0.0207,0.02128957,1.03,-3.0,3.09,0.64593611,0.71486389,ranging,16.9,17.4,high,80,53.67143270584121
ETH/USD:ETH,4585.65,0.05482470769280301,0.06248175385428101,57.38658497470022,6.376262118720092,18555924972.2454,1.9973463067254504,Weak Buy,100.0,Neutral,6.31,0.579,74.19,36.1,39.31,1h,2025-10-27 14:44:29.393333+00:00,0.808149445325095,16.341197725562097,65.96893225873418,56.95500902839378,False,True,False,True,True,True,2529.429489795918,0.8129186911511749,2529.429489795918,4781.782857142856,bull,4578.41528,5392.49544,20,4585.65,4448.0805,4664.96570651,137.5695,79.31570651,0.58,-3.0,1.73,4152.79425476,4688.40774524,bull,100.0,16.3,high,60,53.6175
MANA/USDT:USDT,0.3497,0.09178894786138003,0.2222998951415589,60.55949234826833,0.002973072018661406,567755.5680165,1.4711594531108607,Buy,85.14865360093307,Consistent Uptrend,7.19,0.555,61.79,24.26,51.69,1h,2025-10-27 14:43:21.210849+00:00,0.8272540338023646,27.410087295450495,57.69230769230768,52.45280546140145,False,True,False,True,True,True,0.2691285714285714,0.2993789479271726,0.2691285714285714,0.3295989795918367,bull,0.3415422,0.42518880000000003,0,0.3497,0.339209,0.36403391,0.010491,0.01433391,1.37,-3.0,4.1,0.27229677,0.36586323,bull,100.0,27.4,high,60,53.44636536009331
METIS/USDT:USDT,15.65,0.00449293966623876,-0.07615112160566706,48.726358893998835,0.057701101772270835,27961473.7704,1.0777753421211855,Weak Buy,38.39211542237478,Neutral,2.0,0.292,55.37,7.39,69.0,1h,2025-10-27 14:43:41.437060+00:00,0.5926302367830455,12.476176745800455,55.12820512820517,37.749287749287774,False,False,False,False,False,False,13.015510204081632,0.20241156547917716,13.015510204081632,15.892040816326531,bull,15.70874,23.01952,20,15.65,15.1805,16.35720905,0.4695,0.70720905,1.51,-3.0,4.52,14.50159392,16.43940608,bear,100.0,12.5,high,75,53.29021154223748
SOL/USD:SOL,245.1,0.09328860856610133,0.3415435139573071,68.58712132162785,1.9938537094700983,136903010.60590503,0.8646490097997528,Buy,90.0,Consistent Uptrend,8.77,0.872,89.93,1.97,42.27,1h,2025-10-27 14:42:56.248344+00:00,0.9107370221033806,34.660032737683444,91.18236472945891,78.90805457685563,True,True,False,True,True,True,192.28627551020406,0.2746619557202524,192.28627551020406,242.15204081632652,bull,249.5,274.997552,0,245.1,237.747,249.66975684,7.353,4.56975684,0.62,-3.0,1.86,185.67472127,250.92437873,bull,100.0,34.7,high,60,52.913000000000004
CVX/USDT:USDT,3.559,0.007359184828757526,-0.12748222603579296,46.95400245333653,0.018101540409514616,671217.79374,1.4099072053733996,Weak Buy,38.5458921917182,Neutral,2.49,0.261,58.32,15.68,63.99,1h,2025-10-27 14:43:11.092142+00:00,0.5488667851094348,18.630759972368605,43.140495867768614,23.263934882560136,False,True,False,False,False,True,2.8437448979591835,0.25151872889657584,2.8437448979591835,4.008551020408163,bear,3.281,3.281,0,3.559,3.45223,3.74788413,0.10677,0.18888413,1.77,-3.0,5.31,3.30628228,3.76671772,bear,45.0,18.6,high,75,52.78158921917182
HYPE/USDT:USDT,57.73,0.04158773116824532,0.33233325640433886,68.59145400078746,0.5267747943586869,110588035.48937,0.9603737024685576,Weak Buy,90.0,Consistent Uptrend,8.39,0.785,89.17,3.28,41.89,1h,2025-10-27 14:44:01.328382+00:00,0.8944121559832101,29.922093940446555,98.07932886893809,83.68544070004735,True,True,False,True,True,True,13.66,3.2262079062957536,13.66,53.32540816326531,bull,57.991,64.103112,20,57.73,55.9981,59.5215599,1.7319,1.7915599,1.03,-3.0,3.1,40.02043678,59.82066322,bull,100.0,29.9,high,60,52.729499999999994
TREE/USDT:USDT,0.17796,-0.023913997367266404,-0.3348035734310171,41.60810712286207,0.0065497427322399465,2967616.9058635165,0.17432495044114207,Neutral,22.327487136611996,Neutral,2.84,0.299,51.19,3.0,74.34,1h,2025-10-27 14:44:28.770953+00:00,0.48365636494474934,23.032836028059304,31.555686505598125,40.515943167681534,False,False,False,False,False,False,0.32680642857142855,-0.45545746826977085,0.32680642857142855,0.2679298979591837,bear,0.08425,0.20431642,0,0.17796,0.1726212,0.1832988,0.0053388,0.0053388,1.0,-3.0,3.0,0.1292796,0.2299304,bear,100.0,23.0,high,75,52.650248713661206
CATI/USDT:USDT,0.09087,0.005532809560695018,0.02296521445457622,49.82617411286754,-6.800277339707284e-05,1322758.69603615,0.6261670515343365,Neutral,69.01201664931327,Neutral,2.28,0.139,39.73,18.91,65.78,1h,2025-10-27 14:45:21.743991+00:00,0.4827354091131826,16.036709441141674,54.3322475570033,42.0629750271444,False,False,False,False,False,False,0.08995408163265306,0.010182065679768672,0.08995408163265306,0.09851918367346939,bull,0.09432506,0.13422376,0,0.09087,0.0881439,0.0935961,0.0027261,0.0027261,1.0,-3.0,3.0,0.07912638,0.10345362,bear,93.0,16.0,high,75,52.56020166493133
SNX/USDT:USDT,0.6983,0.0035929864903709863,0.05213198734367941,52.18367343526557,-0.0010866195503506752,1995724.8958224999,0.6057256582743357,Neutral,70.53865551285345,Neutral,4.1,0.206,45.47,11.95,64.6,1h,2025-10-27 14:45:06.844636+00:00,0.6657908942051154,10.271594226488585,58.716577540107,40.78431372549024,False,False,False,True,True,False,0.7173469387755101,-0.026551920341393902,0.7173469387755101,0.71635,bull,0.6997338,0.8659152,20,0.6983,0.677351,0.719249,0.020949,0.020949,1.0,-3.0,3.0,0.64613415,0.72448585,ranging,49.3,10.3,high,80,52.51386555128534
ALPINE/USDT:USDT,0.8261,-0.057716436637390345,-0.8678430306035931,38.02933216531367,0.04669652857101281,1657414.0078431033,0.13320607657398634,Neutral,19.33482642855064,Neutral,3.84,0.548,65.66,4.2,66.34,1h,2025-10-27 14:44:31.033260+00:00,0.3221753747832442,35.45721596759709,17.596034696406427,22.79016935150764,False,False,False,False,False,False,1.7887479591836737,-0.5381685855971542,1.7887479591836737,1.7606214285714286,bear,0.3522,0.35219999999999985,0,0.8261,0.801317,0.850883,0.024783,0.024783,1.0,-3.0,3.0,0.60817256,1.28459744,bear,100.0,35.5,high,75,52.148482642855065
IMX/USDT:USDT,0.7523,0.35818739844737335,0.34941704035874444,73.22789574654429,0.020786340438567752,1167415.8754015,1.8702617826638868,Buy,76.03931702192838,MACD Bullish,7.92,0.758,97.13,31.77,30.92,1h,2025-10-27 14:44:17.555884+00:00,1.097069548827702,24.021049603312886,93.32365747460085,81.59245513059882,True,True,False,True,True,False,0.5608979591836735,0.34124217726677336,0.5608979591836735,0.7526999999999999,bull,0.7707,0.8521096000000001,0,0.7523,0.729731,0.8087225,0.022569,0.0564225,2.5,-3.0,7.5,0.42081964,0.72297036,bull,100.0,24.0,high,60,52.111931702192834
FXS/USDT:USDT,2.734,-0.06401917151660386,-0.004732435384055322,47.56149954660598,-0.005850901050959855,3019007.057145,0.8758815477118747,Sell,37.341237255424346,MACD Bearish,3.96,0.342,48.93,2.4,71.46,1h,2025-10-27 14:42:55.220501+00:00,0.4704129470650332,15.356909603118188,28.02101576182138,27.72743536146736,False,False,False,False,False,True,3.539948979591837,-0.22767248461438683,3.539948979591837,2.59484693877551,bear,2.474,2.474,0,2.734,2.81602,2.52895,0.08202,0.20505,2.5,3.0,-7.5,2.44622297,3.05797703,bear,45.0,15.4,high,75,52.05662372554243
ORDI/USDT:USDT,10.4076,0.10162476845726398,0.16780556771131372,59.54352977590562,0.11298967648251468,19497093.975373,1.5787475797995034,Buy,95.64948382412574,MACD Bullish,6.45,0.706,83.12,21.34,36.95,1h,2025-10-27 14:43:02.742596+00:00,0.9304237640515901,18.12280809472029,86.11037527593818,65.12780089343731,True,True,False,True,True,False,9.237488775510204,0.12666983992358555,9.237488775510204,10.315886734693876,bear,12.0955,10.9978984,0,10.4076,10.095372,10.53488474,0.312228,0.12728474,0.41,-3.0,1.22,7.99751614,10.58782386,bull,100.0,18.1,high,60,52.02094838241258
TON/USDT:USDT,3.1302,-0.012991108028000409,-0.05929376408715259,45.01316595313929,0.008654972194393058,4233577.387064001,1.151593136666315,Neutral,27.441640581719245,Neutral,1.87,0.173,49.57,20.92,67.37,1h,2025-10-27 14:44:18.579958+00:00,0.4517955328051294,10.93258872762521,49.199255121042796,55.53072625698323,False,False,False,False,False,False,3.184927551020408,-0.017183295426256774,3.184927551020408,3.1982959183673465,bear,2.9981,2.9981,0,3.1302,3.036294,3.224106,0.093906,0.093906,1.0,-3.0,3.0,3.04523844,3.23329156,ranging,60.0,10.9,medium,80,51.959664058171924
AUCTION/USDT:USDT,9.762,-0.0027581979773213527,-0.01234318089842168,49.39087747341953,0.015504108764240604,16637999.583645001,1.0018685454680267,Neutral,46.84541701167984,Lagging,2.15,0.119,51.35,22.45,61.65,1h,2025-10-27 14:45:26.759283+00:00,0.5951293500298682,14.321707603404988,50.30156815440294,44.93450045726015,False,False,False,False,False,False,9.659418367346937,0.01061985605674084,9.659418367346937,9.774897959183672,bear,8.771,10.223364,20,9.762,9.46914,10.05486,0.29286,0.29286,1.0,-3.0,3.0,9.36536951,10.03183049,ranging,40.8,14.3,high,80,51.71454170116799
MOVR/USDT:USDT,5.964,0.006582278481012782,-0.08597701149425285,47.47231784523643,0.0016778547556389467,1361156.333,1.3523244005086927,Weak Buy,38.501614256769166,Neutral,1.92,0.155,44.13,14.08,69.42,1h,2025-10-27 14:44:09.786914+00:00,0.4741498840908949,11.452847503837289,56.469002695417856,35.22012578616356,False,False,False,False,False,False,6.799224489795918,-0.12284114034613783,6.799224489795918,5.598857142857143,bull,5.889984,8.594232,0,5.964,5.78508,6.4113,0.17892,0.4473,2.5,-3.0,7.5,5.52470256,6.45119744,bear,100.0,11.5,high,75,51.70466142567692
BSV/USDT:USDT,26.27,0.004204892966360729,-0.022329735764793468,49.58394957480791,0.09238029833256622,29188186.311750002,0.6158834399474592,Weak Buy,41.249254067870844,Neutral,2.07,0.311,54.42,2.11,67.07,1h,2025-10-27 14:45:19.343158+00:00,0.6687762415973213,13.36166496187383,44.31372549019603,35.81699346405221,False,False,False,True,False,False,30.972857142857144,-0.15183801485171353,30.972857142857144,24.532448979591834,bear,24.63,27.02132,20,26.27,25.4819,26.70688272,0.7881,0.43688272,0.55,-3.0,1.66,25.11691184,26.84108816,ranging,46.2,13.4,high,80,51.58142540678708
