symbol,price,momentum_short,momentum_long,rsi,macd,volume_usd,volume_ratio,signal,signal_strength,signal_state,trend_score,confidence_score,composite_score,volume_composite_score,opportunity_score,timeframe,timestamp,bb_position,trend_strength,stoch_k,stoch_d,ichimoku_bullish,vwap_bullish,rsi_bearish_div,ema_5_13_bullish,ema_9_21_bullish,ema_50_200_bullish,poc_price,poc_distance,anchored_poc,fixed_poc,fib_direction,fib_nearest_r,fib_nearest_e,fib_confluence,entry_price,stop_loss,take_profit,risk_amount,reward_amount,risk_reward_ratio,stop_loss_pct,take_profit_pct,support_level,resistance_level,market_regime,regime_confidence,regime_trend_strength,regime_volatility,regime_suggested_threshold,combined_score
ACE/USDT:USDT,0.6135,0.0480013665869492,0.13695329873980744,55.27348811339052,0.009060975206484106,2009756.7777445,0.8196501473064253,Weak Buy,85.45304876032421,Consistent Uptrend,8.16,0.505,61.63,3.3,61.66,daily,2025-10-27 15:08:50.829156+00:00,0.6941556774484189,39.45610222146197,27.499462481186853,26.073245896939728,False,True,False,True,True,False,0.6538571428571428,-0.06172165173694545,0.6538571428571428,0.6286367346938776,bull,0.5849742,1.0772616,0,0.6135,0.595095,0.6595125,0.018405,0.0460125,2.5,-3.0,7.5,0.41964978,0.69891022,bull,45.0,39.5,high,60,55.27780487603242
RESOLV/USDT:USDT,0.0589,-0.029654036243822013,-0.4526022304832714,32.34536901331393,0.002098538841429371,2152890.636642143,0.14959194310197566,Neutral,17.10492694207147,Neutral,5.0,0.397,58.34,3.32,76.5,daily,2025-10-27 15:08:57.665442+00:00,0.35581360865941775,52.61147510957132,28.01724137931034,35.610266900448075,False,False,False,False,False,False,0.1484173469387755,-0.6031461199458229,0.1484173469387755,0.07531428571428572,bear,0.0193,0.07862460000000002,0,0.0589,0.057133,0.060667,0.001767,0.001767,1.0,-3.0,3.0,0.04061409,0.09200591,bear,100.0,52.6,high,75,55.043492694207146
ENS/USDT:USDT,24.269,0.04033779149519878,-0.043397713835238605,51.670817797877234,0.22790167688450796,12226110.11802,3.049988716980531,Weak Buy,40.0,Neutral,2.18,0.457,65.47,52.23,53.18,daily,2025-10-27 15:10:46.509113+00:00,0.8232977000106891,14.801857586596697,70.26785714285707,52.45039682539675,False,True,False,True,False,True,27.885663265306125,-0.1296961535717097,27.885663265306125,22.61818367346939,bear,21.5,25.574794,20,24.269,23.54093,24.74287626,0.72807,0.47387626,0.65,-3.0,1.95,21.48178768,24.86721232,bull,45.0,14.8,high,60,54.791999999999994
SOL/USDT:USDT,244.843,0.09300519175568844,0.33862017309342995,68.738675441894,2.011673081144769,1756599060.56107,1.236383806341963,Buy,95.0,Consistent Uptrend,8.07,0.776,90.21,9.54,41.57,daily,2025-10-27 15:08:13.573277+00:00,0.9089761437431744,25.89975364844138,90.4008585567502,78.69261827708203,True,True,False,True,True,True,126.71197959183674,0.932279811180329,126.71197959183674,242.16238775510203,bull,249.673,275.214344,0,244.843,237.49771,249.53315778,7.34529,4.69015778,0.64,-3.0,1.92,185.48450675,250.78709325,bull,100.0,25.9,high,60,54.268499999999996
SUI/USD:SUI,2.6322,0.01766866421805524,-0.17356357927786492,43.68461046936601,0.0283896469531128,1244840.7913043955,0.009888661067756524,Neutral,23.41948234765564,Potential Reversal,3.44,0.352,61.09,3.61,71.94,daily,2025-10-27 15:10:14.991485+00:00,0.4591785374417867,30.55813454161805,51.16151202749145,43.574937389912996,False,False,False,False,False,False,3.7536795918367343,-0.29876806594671995,3.7536795918367343,2.5447020408163263,bull,2.635356,4.600476,20,2.6322,2.553234,2.711166,0.078966,0.078966,1.0,-3.0,3.0,2.08260031,3.27951969,bear,100.0,30.6,high,75,54.125948234765566
MYX/USDT:USDT,2.76223,-0.0204858156028368,-0.8080791798534659,37.88584313341608,0.19659006769996878,1764087.5246134093,0.29652738631186343,Neutral,26.82950338499844,Neutral,2.7,0.483,63.48,19.42,65.2,daily,2025-10-27 15:10:49.603143+00:00,0.3407711060949538,21.30320627807911,14.557301964858034,24.214539888719116,False,True,False,False,False,False,0.21951326530612242,11.583430874429979,0.21951326530612242,1.2712614285714285,bear,1.07064,1.070640000000001,0,2.76223,2.6793631,2.8450969,0.0828669,0.0828669,1.0,-3.0,3.0,1.77351824,4.67491376,bear,100.0,21.3,high,75,54.06595033849984
ME/USDT:USDT,0.69,0.0014513788098693414,-0.014285714285714346,49.25631428911236,0.003671260222772631,4664728.55329,1.223683832743513,Weak Buy,51.58932705841212,Lagging,2.39,0.099,44.52,11.25,71.39,daily,2025-10-27 15:10:26.710420+00:00,0.6392761937773953,17.418207599380022,51.21951219512188,40.65040650406504,False,False,False,True,False,False,0.9389387755102041,-0.2651278038601983,0.9389387755102041,0.7194285714285715,bear,0.643,0.643,0,0.69,0.6693,0.71128957,0.0207,0.02128957,1.03,-3.0,3.09,0.64593611,0.71486389,ranging,16.9,17.4,high,80,53.67143270584121
ETH/USD:ETH,4585.65,0.05482470769280301,0.06248175385428101,57.38658497470022,6.376262118720092,18555924972.2454,1.9973463067254504,Weak Buy,100.0,Neutral,6.31,0.579,74.19,36.1,39.31,daily,2025-10-27 15:10:55.926013+00:00,0.808149445325095,16.341197725562097,65.96893225873418,56.95500902839378,False,True,False,True,True,True,2529.429489795918,0.8129186911511749,2529.429489795918,4781.782857142856,bull,4578.41528,5392.49544,20,4585.65,4448.0805,4664.96570651,137.5695,79.31570651,0.58,-3.0,1.73,4152.79425476,4688.40774524,bull,100.0,16.3,high,60,53.6175
MANA/USDT:USDT,0.3497,0.09178894786138003,0.2222998951415589,60.55949234826833,0.002973072018661406,567755.5680165,1.4711594531108607,Buy,85.14865360093307,Consistent Uptrend,7.19,0.555,61.79,24.26,51.69,daily,2025-10-27 15:10:10.431275+00:00,0.8272540338023646,27.410087295450495,57.69230769230768,52.45280546140145,False,True,False,True,True,True,0.2691285714285714,0.2993789479271726,0.2691285714285714,0.3295989795918367,bull,0.3415422,0.42518880000000003,0,0.3497,0.339209,0.36403391,0.010491,0.01433391,1.37,-3.0,4.1,0.27229677,0.36586323,bull,100.0,27.4,high,60,53.44636536009331
METIS/USDT:USDT,15.65,0.00449293966623876,-0.07615112160566706,48.726358893998835,0.057701101772270835,27961473.7704,1.0777753421211855,Weak Buy,38.39211542237478,Neutral,2.0,0.292,55.37,7.39,69.0,daily,2025-10-27 15:10:24.038952+00:00,0.5926302367830455,12.476176745800455,55.12820512820517,37.749287749287774,False,False,False,False,False,False,13.015510204081632,0.20241156547917716,13.015510204081632,15.892040816326531,bull,15.70874,23.01952,20,15.65,15.1805,16.35720905,0.4695,0.70720905,1.51,-3.0,4.52,14.50159392,16.43940608,bear,100.0,12.5,high,75,53.29021154223748
